fus5
 0.99978    -0.00096
 0.99420     0.00239
 0.98492     0.00786
 0.97422     0.01371
 0.96221     0.01962
 0.94881     0.02550
 0.93387     0.03133
 0.91745     0.03710
 0.89986     0.04280
 0.88153     0.04839
 0.86270     0.05384
 0.84359     0.05913
 0.82432     0.06427
 0.80494     0.06925
 0.78539     0.07405
 0.76571     0.07870
 0.74596     0.08322
 0.72615     0.08762
 0.70628     0.09190
 0.68635     0.09605
 0.66642     0.10007
 0.64652     0.10395
 0.62667     0.10767
 0.60688     0.11124
 0.58718     0.11463
 0.56756     0.11785
 0.54806     0.12086
 0.52867     0.12366
 0.50939     0.12622
 0.49022     0.12852
 0.47119     0.13053
 0.45231     0.13224
 0.43361     0.13364
 0.41511     0.13473
 0.39684     0.13551
 0.37878     0.13597
 0.36098     0.13613
 0.34348     0.13596
 0.32632     0.13548
 0.30953     0.13468
 0.29313     0.13357
 0.27710     0.13217
 0.26141     0.13047
 0.24602     0.12848
 0.23090     0.12619
 0.21605     0.12362
 0.20148     0.12077
 0.18722     0.11764
 0.17334     0.11426
 0.15989     0.11065
 0.14694     0.10683
 0.13456     0.10285
 0.12283     0.09875
 0.11179     0.09457
 0.10147     0.09035
 0.09186     0.08614
 0.08300     0.08196
 0.07487     0.07787
 0.06746     0.07389
 0.06068     0.07001
 0.05445     0.06622
 0.04871     0.06249
 0.04343     0.05885
 0.03862     0.05533
 0.03423     0.05192
 0.03026     0.04865
 0.02664     0.04548
 0.02336     0.04241
 0.02035     0.03942
 0.01761     0.03650
 0.01511     0.03367
 0.01283     0.03090
 0.01077     0.02820
 0.00890     0.02555
 0.00722     0.02297
 0.00573     0.02044
 0.00442     0.01795
 0.00326     0.01553
 0.00227     0.01316
 0.00144     0.01083
 0.00075     0.00855
 0.00025     0.00629
-0.00006     0.00407
-0.00014     0.00188
 0.00010    -0.00021
 0.00064    -0.00214
 0.00126    -0.00393
 0.00211    -0.00562
 0.00338    -0.00721
 0.00507    -0.00858
 0.00708    -0.00975
 0.00933    -0.01077
 0.01180    -0.01165
 0.01447    -0.01241
 0.01734    -0.01306
 0.02042    -0.01360
 0.02373    -0.01404
 0.02729    -0.01438
 0.03112    -0.01463
 0.03528    -0.01480
 0.03980    -0.01486
 0.04476    -0.01482
 0.05022    -0.01466
 0.05627    -0.01437
 0.06305    -0.01392
 0.07068    -0.01328
 0.07936    -0.01242
 0.08929    -0.01129
 0.10071    -0.00984
 0.11379    -0.00802
 0.12855    -0.00583
 0.14487    -0.00327
 0.16239    -0.00044
 0.18074     0.00260
 0.19963     0.00573
 0.21888     0.00888
 0.23839     0.01201
 0.25811     0.01508
 0.27796     0.01806
 0.29788     0.02092
 0.31781     0.02366
 0.33772     0.02626
 0.35758     0.02868
 0.37742     0.03091
 0.39723     0.03296
 0.41704     0.03482
 0.43681     0.03648
 0.45656     0.03796
 0.47627     0.03926
 0.49595     0.04039
 0.51561     0.04135
 0.53524     0.04215
 0.55484     0.04279
 0.57441     0.04326
 0.59394     0.04358
 0.61339     0.04373
 0.63277     0.04371
 0.65204     0.04353
 0.67123     0.04318
 0.69028     0.04266
 0.70919     0.04197
 0.72789     0.04112
 0.74631     0.04010
 0.76440     0.03894
 0.78210     0.03763
 0.79936     0.03618
 0.81626     0.03456
 0.83296     0.03277
 0.84963     0.03081
 0.86647     0.02865
 0.88357     0.02624
 0.90069     0.02356
 0.91737     0.02067
 0.93314     0.01763
 0.94777     0.01449
 0.96112     0.01128
 0.97318     0.00801
 0.98402     0.00470
 0.99376     0.00134
 0.99978    -0.00096
